v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
A18 26530,Ansell,AN ASC75/B,products/AN ASC75-B,27.00,,27.00,17.28,21.60,20.25,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Black,*Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience *Wall or Ceiling mount**,78*132,2,,7,2,,0,0,0,0,,1,75,0,ES,,65,1 x 75w ES ,0,,,,270,91,,,,,,,,,,,,,,,1,,,,,,,,
A18 26531,Ansell,AN ASC75/W,products/AN ASC75-W,27.00,,27.00,17.28,21.60,20.25,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light White,*Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience *Wall or Ceiling mount**,78*132,2,,7,23,,0,0,0,0,,1,75,0,ES,,65,1 x 75w ES ,0,,,,270,91,,,,,,,,,,,,,,,1,,,,,,,,
A18 27060,Ansell,AN ASI118/B,products/AN ASI118-B,48.00,,48.00,30.59,38.40,36.00,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Black,*Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience**,78,2,,7,2,,0,0,0,0,,1,18,PL-C,G24d-2,,65,1 x 18w G24d-2 PL-C,0,,,,295,96,,,,,,,,,,,,,,,1,,,,,,,,
A18 27061,Ansell,AN ASI118/W,products/AN ASI118-W,43.00,48.00,44.00,30.59,38.40,36.00,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light White,*Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience**,78,2,,7,23,,0,0,0,0,,1,18,PL-C,G24d-2,,65,1 x 18w G24d-2 PL-C,0,,,,295,96,,,,,,,,,,,,,,,1,,,,,,,,
A18 27590,Ansell,AN ASI138/B/HF,products/AN ASI138-B-HF,77.00,96.00,77.00,62.09,76.80,72.00,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Black,*Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience**,78,2,,7,2,,0,0,0,0,,1,38,2D,0,,65,1 x 38w  2D,0,,,,380,120,,,,,,,,,,,,,,,1,,,,,,,,
A18 27591,Ansell,AN ASI138/W/HF,products/AN ASI138-W-HF,77.00,96.00,77.00,62.09,76.80,72.00,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light White,*Injection moulded thermoplastic body *Opal polycarbonate diffuser for resillience**,78,2,,7,23,,0,0,0,0,,1,38,2D,0,,65,1 x 38w  2D,0,,,,380,120,,,,,,,,,,,,,,,1,,,,,,,,
A18 28120,Ansell,AN ASI226/HF,products/AN ASI226-HF,99.00,124.00,100.00,80.34,99.20,93.00,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Black,*Die-cast aluminium body with opal polycarbonate diffuser *360 degree light spill feature**,78,2,,8,2,,0,0,0,0,,2,26,PL-C,0,,65,2 x 26w  PL-C,0,300,300,,,87,,,,,,,,,,,,,,,1,,,,,,,,
A18 28121,Ansell,AN ASI226/SG/HF,products/AN ASI226-SG-HF,99.00,124.00,100.00,80.34,99.20,93.00,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Silver Grey,*Die-cast aluminium body with opal polycarbonate diffuser *360 degree light spill feature**,78,2,,8,34,,0,0,0,0,,2,26,PL-C,0,,65,2 x 26w  PL-C,0,300,300,,,87,,,,,,,,,,,,,,,1,,,,,,,,
A18 29180,Ansell,AN ATX20/60,products/AN ATX20-60,9.00,,9.00,3.79,7.20,6.75,0,0,0,0,0.00,0,1,Low Voltage Transformer,"*Electronic Transformer *Auto reset for thermal, short circuit and overload protection *5 Year guarantee *Fully dimmable with most leading and trailing edge dimmers**",190,2,,,,,0,0,0,0,,0,0,0,0,,20,,0,117.5,37.5,24.2,,,,,,,,,,,,,,,,,1,,,,,,,,
A18 34410,Ansell,AN AUE27040/SS,products/AN AUE27040-SS,224.00,280.00,224.00,181.95,224.00,210.00,ABCD,0,0,0,0.00,0,1,400mm Bollard,*High Grade AISI 316L stainless steel Bollard *Suitable for commercial and domestic applications **,75,2,,8,35,,0,0,0,0,,1,60,0,ES,,44,1 x 60w ES ,0,,,400,100,,,,,,,,,,,,,,,,1,,,,,,,,
