v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
O11 13309,Oaks,OA 1450TLAB,products/OA 1450TLAB,72.00,,72.00,72.00,57.60,57.60,CD,0,0,,,,1,"Table Lamp, with clear glass, Antique Brass","Table Lamp, with clear glass, Antique Brass. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",99,2,4,8,21,,0,0,0,0,,2,25,Mains,G9,1,0,2 x 25w G9 Mains,0,,235,385,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 1330A,Oaks,OA 1450TLCH,products/OA 1450TLCH,72.00,,72.00,72.00,57.60,57.60,CD,0,0,,,,1,"Table Lamp, with clear glass, Chrome","Table Lamp, with clear glass, Chrome. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",99,2,4,8,3,,0,0,0,0,,2,25,Mains,G9,1,0,2 x 25w G9 Mains,0,,235,385,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 1330C,Oaks,OA 1450TLMB,products/OA 1450TLMB,72.00,,72.00,72.00,57.60,57.60,CD,0,0,,,,1,"Table Lamp, with clear glass, Mirror Black","Table Lamp, with clear glass, Mirror Black. Adjustable heads. *Available in Antique Brass, Chrome or Mirror Black finish **",99,2,4,8,7,,0,0,0,0,,2,25,Mains,G9,1,0,2 x 25w G9 Mains,0,,235,385,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13900,Oaks,OA 1693/1CH,products/OA 1693-1CH,57.00,,57.00,57.00,45.60,45.60,CD,0,0,,,,1,Bathroom Wall Light,Bathroom Wall Light. Chrome wall light with pull switch and glass,160,2,4,8,7,,0,0,0,0,,1,25,Mains,G9,1,44,1 x 25w G9 Mains,0,,100,205,,130,,,,,,,,,,,,,,,1,,,,,,,,
O11 13901,Oaks,OA 1693/5CH,products/OA 1693-5CH,210.00,,210.00,210.00,168.00,168.00,CD,0,0,,,,1,Bathroom 5 Light,Bathroom 5 Light. Chrome 5 light with glass,157,2,4,8,7,,0,0,0,0,,5,25,Mains,G9,1,44,5 x 25w G9 Mains,0,,,375,360,,,,,,,,,,,,,,,,1,,,,,,,,
O11 13902,Oaks,OA 1696/3CH,products/OA 1696-3CH,210.00,,210.00,210.00,168.00,168.00,CD,0,0,,,,1,Bathroom 3 light,Bathroom 3 light. Chrome Ceiling plate with 3 lights ,157,2,4,8,7,,0,0,0,0,,3,40,Mains,G9,1,44,3 x 40w G9 Mains,0,,,220,300,,,,,,,,,,,,,,,,1,,,,,,,,
O11 14200,Oaks,OA 171CHAINBK,products/OA 171CHAINBK,47.00,,47.00,47.00,37.60,37.60,CD,0,0,,,,1,"Hanging outdoor lantern, Black","Hanging outdoor lantern, Black. *20 Year Guarantee against Corrosion, Die-Cast Aluminium *Supplied with Tinted Glass**",131,1,4,8,2,,0,0,0,0,,1,60,GLS,ES,,44,1 x 60w ES GLS,0,,,360,190,,,,,,20,,,,,,,,,,1,,,,,,,,
O11 14201,Oaks,OA 171DNBK,products/OA 171DNBK,47.00,,47.00,47.00,37.60,37.60,CD,0,0,,,,1,"Down facing Wall Lantern, Black","Down facing Wall Lantern, Black. *20 Year Guarantee against Corrosion, Die-Cast Aluminium *Supplied with Tinted Glass**",77,1,4,8,2,,0,0,0,0,,1,60,GLS,ES,,44,1 x 60w ES GLS,0,,190,380,,240,,,,,20,,,,,,,,,,1,,,,,,,,
O11 14202,Oaks,OA 171PEDBK,products/OA 171PEDBK,47.00,,47.00,47.00,37.60,37.60,CD,0,0,,,,1,"Pedestal Lantern, Black","Pedestal Lantern, Black. *20 Year Guarantee against Corrosion, Die-Cast Aluminium *Supplied with Tinted Glass**",72,1,4,8,2,,0,0,0,0,,1,60,GLS,ES,,44,1 x 60w ES GLS,0,,,440,190,,,,,,20,,,,,,,,,,1,,,,,,,,
O11 14203,Oaks,OA 171UPBK,products/OA 171UPBK,47.00,,47.00,47.00,37.60,37.60,CD,0,0,,,,1,"Wall Lantern, Black","Wall Lantern, Black. *20 Year Guarantee against Corrosion, Die-Cast Aluminium *Supplied with Tinted Glass**",77,1,4,8,2,,0,0,0,0,,1,60,GLS,ES,,44,1 x 60w ES GLS,0,,190,370,,230,,,,,20,,,,,,,,,,1,,,,1,,,,
O11 14380,Oaks,OA 1722/1CH,products/OA 1722-1CH,41.00,,41.00,41.00,32.80,32.80,CD,0,0,,,,1,Wall Light c/w shade,Chrome Wall Light c/w shade,152,2,,8,7,,0,0,0,0,,1,60,0,ES,,0,1 x 60w ES ,0,,180,200,,230,,,,,,,,,,,,,,,1,,,,,,,,
O11 14381,Oaks,OA 1722/3CH,products/OA 1722-3CH,169.00,,169.00,169.00,135.20,135.20,CD,0,0,,,,1,3 Light Pendant c/w shade,3 Light Chrome Pendant c/w shade. Chain can be removed to fit flush to ceiling,19*178,2,,8,7,,0,0,0,0,,3,60,0,ES,,0,3 x 60w ES ,0,,,350,550,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 14382,Oaks,OA 1722/5CH,products/OA 1722-5CH,240.00,,240.00,240.00,192.00,192.00,CD,0,0,,,,1,5 Light Pendant c/w shade,5 Light Chrome Pendant c/w shade. Chain can be removed to fit flush to ceiling,19*178,2,,8,7,,0,0,0,0,,5,60,0,ES,,0,5 x 60w ES ,0,,,360,700,,,,,,,,,,,,,,,,1,,,,,,,,
O11 14410,Oaks,OA 173/2CH,products/OA 173-2CH,265.00,,265.00,265.00,212.00,212.00,CD,0,0,,,,1,2 Light Wall - Chrome & Crystal,Cast Brass 2 Light Wall - Chrome & Crystal *Available in Chrome or Gold Plate **,150,2,,5,7,,0,0,0,0,,2,60,0,ES,,0,2 x 60w ES ,0,,370,240,,220,,,,,,,,,,,,,,,1,,,,,,,,
O11 14411,Oaks,OA 173/5CH,products/OA 173-5CH,810.00,,810.00,810.00,648.00,648.00,CD,0,0,,,,1,5 Light - Chrome & Crystal,Cast Brass 5 Light - Chrome & Crystal *Available in Chrome or Gold Plate **,19,2,,5,7,,0,0,0,0,,5,60,0,ES,,0,5 x 60w ES ,0,,,470,550,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 14412,Oaks,OA 173TLCH,products/OA 173TLCH,199.00,,199.00,199.00,159.20,159.20,CD,0,0,,,,1,Table Lamp - Chrome & Crystal,Cast Brass Table Lamp - Chrome & Crystal *Available in Chrome or Gold Plate *Shade available seperately **,182,2,,5,7,,0,0,0,0,,1,100,0,BC,,0,1 x 100w BC ,0,,,435,160,,,,,,,,,,,,,,,,1,,,,,,,,
O11 14413,Oaks,OA 173/2GO,products/OA 173-2GO,265.00,,265.00,265.00,212.00,212.00,CD,0,0,,,,1,2 Light Wall - Gold & Crystal,Cast Brass 2 Light Wall - Gold & Crystal *Available in Chrome or Gold Plate **,150,2,,5,38,,0,0,0,0,,2,60,0,ES,,0,2 x 60w ES ,0,,370,240,,220,,,,,,,,,,,,,,,1,,,,,,,,
O11 14414,Oaks,OA 173/5GO,products/OA 173-5GO,810.00,,810.00,810.00,648.00,648.00,CD,0,0,,,,1,5 Light - Gold & Crystal,Cast Brass 5 Light - Gold & Crystal *Available in Chrome or Gold Plate **,19,2,,5,38,,0,0,0,0,,5,60,0,ES,,0,5 x 60w ES ,0,,,470,550,,,,,,,,,,,,,,,,1,,,,,,,,
O11 14415,Oaks,OA 173/6GO,products/OA 173-6GO,1050.00,,1050.00,1050.00,840.00,840.00,CD,0,0,,,,1,6 Light - Gold & Crystal,Cast Brass 6 Light - Gold & Crystal,19,2,,5,38,,0,0,0,0,,6,60,0,ES,,0,6 x 60w ES ,0,,,490,760,,,,,,,,,,,,,,,,1,,,,1,,,,
O11 14416,Oaks,OA 173TLGO,products/OA 173TLGO,199.00,,199.00,199.00,159.20,159.20,CD,0,0,,,,1,Table Lamp - Gold & Crystal,Cast Brass Table Lamp - Gold & Crystal *Available in Chrome or Gold Plate *Shade available seperately **,182,2,,5,38,,0,0,0,0,,1,100,0,BC,,0,1 x 100w BC ,0,,,435,160,,,,,,,,,,,,,,,,1,,,,,,,,
